TIPO_DE_MASA,LUGAR,LAT,LONG,FECHA,INDICE_INORGANICO,INDICE_CONTAMINACIÓN_BIOLOGICA,OXÍGENO
lagos,lago soldati,-34.661886,-58.459898,2024-08-27,0.26391458528742195,-0.26094257086697087,10.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2024-09-04,-1.5085738212067095,-0.3250691000641442,8.8
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2024-09-04,-1.4783670223409953,-0.3300893780454564,3.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2024-09-04,-1.4799568538602434,-0.3307292466958534,3.5
riachuelo,puente la noria,-34.705115,-58.46104,2024-09-11,1.5445133352449272,-0.19479776449674296,1.2000000000000002
riachuelo,desembocadura,-34.637968,-58.356041,2024-09-11,-0.31843226917568385,-0.29124048847401557,0.8999999999999999
riachuelo,puente alsina,-34.659538,-58.416509,2024-09-11,2.011929071302292,-0.16057754558091497,2.0
riachuelo,puente alsina,-34.659538,-58.416509,2024-10-02,1.7372093464152725,-0.16057754558091497,3.0
riachuelo,desembocadura,-34.637968,-58.356041,2024-10-02,1.2209931598747816,-0.21423429442561898,0.8999999999999999
riachuelo,puente la noria,-34.705115,-58.46104,2024-10-02,1.361366851986914,-0.19479776449674296,2.7
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2024-10-16,-0.5456202471559226,0.08921706704981346,0.09999999999999964
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2024-10-16,-1.1958560691299756,0.12595036436174217,3.0
lagos,lago soldati,-34.661886,-58.459898,2024-10-22,-1.0181107975186687,-0.26094257086697087,20.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2024-10-29,-0.09680870151281358,3.192667794568134,0.07071067811865461
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2024-10-29,0.0717081701290636,0.16717768748984668,1.1
lagos,lago lugano,-34.679461,-58.447579,2024-10-30,1.2217828062359835,-0.2874441439196244,8.1
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2024-11-06,-1.6772249899616087,-0.3300893780454564,8.3
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2024-11-06,-1.6788148214808567,-0.3307292466958534,7.799999999999999
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2024-11-06,-1.7074317888273227,-0.3250691000641442,8.4
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2024-11-19,0.16470804460665567,-0.2428030331603636,1.9
arroyos,ingreso arroyo maldonado,-34.634576,-58.529663,2024-11-19,-1.3980805306189659,0.4968825297293091,5.6
riachuelo,puente alsina,-34.659538,-58.416509,2024-11-20,1.4624896215282532,-0.16057754558091497,5.4
riachuelo,puente la noria,-34.705115,-58.46104,2024-11-20,1.7521548165758891,-0.18583793028517265,3.7
riachuelo,desembocadura,-34.637968,-58.356041,2024-11-20,-0.5111230109476076,-0.27206294337831416,4.9
riachuelo,puente alsina,-34.659538,-58.416509,2024-12-04,1.828782588044279,-0.16057754558091497,2.0
riachuelo,desembocadura,-34.637968,-58.356041,2024-12-04,1.151835488787489,-0.2173901257525262,4.2
riachuelo,puente la noria,-34.705115,-58.46104,2024-12-04,1.148013569863187,-0.2086715112007036,1.1
riachuelo,desembocadura,-34.637968,-58.356041,2025-01-08,-0.3726497395007819,-0.2673559153231718,2.7
